"District.Name","School.Name","math_ALL","math_FRP","reading_ALL","reading_FRP"
"Northeast Metro 916","Quora Secondary School",0,NA,10.71,NA
"Northeast Metro 916","Karner Blue Education Center",12.65,11.9,12.65,14.28
"Northeast Metro 916","Pankalo Education Center",9.21,12.24,11.84,8.16
"Northeast Metro 916","East View Academy",0,NA,NA,NA
"Northeast Metro 916","Metro Heights Academy",0,0,NA,NA
"Intermediate School District 917","917 Dcals North",0,NA,NA,NA
"Intermediate School District 917","917 Sun Aec",4,6.45,8.51,10
"Intermediate School District 917","917 Tea",NA,NA,10,NA
"Region 6 And 8-Sw/Wc Service Cooperative","Swwc Elc - Windom",14.81,8.33,20.83,9.52
"Region 6 And 8-Sw/Wc Service Cooperative","Swwc Elc - Cosmos",22.72,NA,13.63,NA
"Region 6 And 8-Sw/Wc Service Cooperative","Swwc Elc - New London",NA,NA,27.27,NA
"Perpich Center For Arts Education","Perpich Center For Arts Education",18.03,NA,NA,NA
"Fond Du Lac Ojibwe","Fond Du Lac Ojibwe School",11.84,11.84,17.33,17.33
"Bug-O-Nay-Ge-Shig","Bug-O-Nay-Ge-Shig",3.4,2.56,12.94,12.98
"Nay-Ah-Shing","Nay-Ah-Shing",3.37,5.88,15.73,5.88
"Lake Crystal-Wellcome Memorial","Lake Crystal-Wellcome Memorial Elementary",81.08,70.96,68.91,62.9
"Lake Crystal-Wellcome Memorial","Lake Crystal-Wellcome Memorial Secondary",43.57,21.62,43.92,29.72
"Triton School District","Triton Middle School",39.15,27.27,36.32,30.3
"Triton School District","Triton Elementary",51.91,44.18,40.43,27.9
"Triton School District","Triton High School",44.11,35.48,45.2,NA
"United South Central School District","United South Central Elementary",62.8,52.68,56.03,45.16
"United South Central School District","United South Central High School",19.88,14.47,28.32,19.17
"Maple River School District","Maple River Elementary",59.52,44.68,50.47,41.48
"Maple River School District","Maple River Secondary",47.82,37.14,55.67,43.92
"Kingsland Public School District","Kingsland Elementary School",61.18,46.77,53.28,40.32
"Kingsland Public School District","Kingsland Junior/Senior High School",29.2,26.66,47.16,46.66
"St. Louis County School District","Babbitt Elementary",29.41,25.8,29.41,38.7
"St. Louis County School District","Tower-Soudan Elementary",42.85,34.78,40,34.78
"St. Louis County School District","Northeast Range Secondary",7.27,4.16,22.91,NA
"St. Louis County School District","South Ridge Elementary",42.36,40,45.45,37.28
"St. Louis County School District","South Ridge Secondary",12.38,6.89,28.3,25.53
"St. Louis County School District","North Woods Elementary",35.89,28.07,47,38.59
"St. Louis County School District","North Woods Secondary",20.79,10.25,38.59,32.55
"St. Louis County School District","Cherry Secondary",19.25,8,42.42,29.62
"St. Louis County School District","Cherry Elementary",40.26,41.66,57.04,60
"Waterville-Elysian-Morristown Public School District","Morristown Elementary",38.39,31.25,47.32,50
"Waterville-Elysian-Morristown Public School District","Waterville-Elysian-Morristown Jr.",60,34.48,47,37.93
"Waterville-Elysian-Morristown Public School District","Waterville Elementary",53.68,45.45,37.5,35.29
"Waterville-Elysian-Morristown Public School District","Waterville-Elysian-Morristown Sr.",27.27,NA,52.94,NA
"Chisago Lakes School District","Lakeside El.",62.39,55.85,54.52,42.34
"Chisago Lakes School District","Chisago Lakes Middle",60.85,43.82,60.44,46.62
"Chisago Lakes School District","Chisago Lakes Senior High",30.41,19.23,48.81,33.33
"Chisago Lakes School District","Taylors Falls Elementary",43.29,23.25,45.12,27.9
"Minnewaska School District","Minnewaska Secondary",34.25,11.53,44.03,40.74
"Minnewaska School District","Minnewaska Area Junior High",54.06,44.06,43.06,35.59
"Minnewaska School District","Minnewaska Area Intermediate School",70.2,54.65,72.26,66.27
"Minnewaska School District","Minnewaska Area Elementary",71.6,50,51.85,42.85
"Wadena-Deer Creek School District","Wadena-Deer Creek Senior High",29.27,20.58,36.32,32.65
"Wadena-Deer Creek School District","Wadena-Deer Creek Elementary",46.58,37.5,29.81,26.25
"Wadena-Deer Creek School District","Wadena-Deer Creek 5Th And 6Th Grade",40,28.78,54.19,42.42
"Buffalo Lake-Hector-Stewart Public Schools","Buffalo Lake-Hector-Stewart Elementary",74.39,67.5,64.63,52.5
"Buffalo Lake-Hector-Stewart Public Schools","Buffalo Lake-Hector-Stewart Secondary",35.11,16.36,47.14,36.5
"Dilworth-Glyndon-Felton","Dilworth-Glyndon-Felton Elementary",51.51,37.64,37.66,30.58
"Dilworth-Glyndon-Felton","Dilworth-Glyndon-Felton Middle School",37.88,22.42,53.56,39.39
"Dilworth-Glyndon-Felton","Dilworth-Glyndon-Felton Senior High",42.47,13.63,55.26,61.9
"Hinckley-Finlayson School District","Hinckley Elementary",38.53,30.93,35.43,27.14
"Hinckley-Finlayson School District","Hinckley-Finlayson Secondary",13.33,7.21,28.1,23.52
"Hinckley-Finlayson School District","Finlayson Elementary",48.38,NA,48.38,NA
"Lakeview School District","Lakeview Elementary",62.44,50,56.56,47.14
"Lakeview School District","Lakeview Secondary",41.61,30.18,44.3,35.18
"Nrheg School District","Nrheg Secondary",20.28,14.81,39.11,35.16
"Nrheg School District","Nrheg Elementary",52.22,39.02,40,34.14
"Murray County Central Schools","West Elementary",72.05,57.31,66.17,58.53
"Murray County Central Schools","Murray County Central High School",38.03,22.72,51.94,43.47
"Staples-Motley School District","Staples-Motley Elementary",46.72,38.18,35.51,34.54
"Staples-Motley School District","Staples-Motley Senior High",32.39,34.78,52.63,28.57
"Staples-Motley School District","Staples-Motley Middle School",38.92,32.39,41.78,33.8
"Kittson Central School District","Kittson Central Elementary",54.79,NA,58.9,NA
"Kittson Central School District","Kittson Central Secondary",47.36,NA,36.66,NA
"Kenyon-Wanamingo School District","Kenyon-Wanamingo Elementary",60.56,57.14,47.88,33.33
"Kenyon-Wanamingo School District","Kenyon-Wanamingo Senior High",17.64,NA,50,NA
"Kenyon-Wanamingo School District","Kenyon-Wanamingo Middle",36.19,19.67,50.23,35.48
"Pine River-Backus School District","Pine River-Backus Elementary",45.64,36.25,57.67,50
"Pine River-Backus School District","Pine River-Backus High School",20.21,16.36,34.07,23.14
"Warren-Alvarado-Oslo School District","Warren Elementary",53.52,40.29,53.52,41.79
"Warren-Alvarado-Oslo School District","Warren-Alvarado-Oslo Secondary",25.65,19.56,41.78,44.68
"MacCray School District","MacCray Secondary",36.43,25.42,44.95,35.13
"MacCray School District","MacCray Elementary",46.42,36.61,41.66,26.76
"Luverne Public School District","Luverne Elementary",62.54,50,57.76,48.83
"Luverne Public School District","Luverne Middle",62.3,41.97,60.76,44.44
"Luverne Public School District","Luverne Senior High",72.82,56,44.18,36
"Yellow Medicine East","Bert Raney Elementary School",41.17,35.59,43.69,37.28
"Yellow Medicine East","Yellow Medicine East Secondary School",18.18,19.69,39.86,33.87
"Fillmore Central","Fillmore Central Elementary",60.67,50,62.35,54.87
"Fillmore Central","Fillmore Central Senior High",22.22,20.51,35.71,26.82
"Norman County East School District","Norman County East Secondary",9.09,NA,32.25,NA
"Norman County East School District","Norman County East Elementary",33.96,35.71,35.84,28.57
"Sibley East School District","Sibley East-Arlington Senior High",12.67,12,46.51,36.36
"Sibley East School District","Sibley East-Gaylord Elementary",48.93,39.04,44.68,34.28
"Sibley East School District","Sibley East Middle School",37.6,28.43,50.42,38.23
"Clearbrook-Gonvick School District","Clearbrook-Gonvick Elementary",41,40.27,53.23,51.38
"Clearbrook-Gonvick School District","Clearbrook-Gonvick Secondary",12.28,13.11,36.69,33.89
"West Central Area","West Central Area North Elementary",73.21,76.92,50,46.15
"West Central Area","West Central Area South Elementary",62,NA,48,NA
"West Central Area","West Central Area Secondary",17.24,10,71.69,NA
"West Central Area","Wca Middle School",30.63,22.78,44.14,32.91
"Tri-County School District","Karlstad Elementary",48.83,NA,41.86,NA
"Tri-County School District","Tri-County Secondary",46.66,45.45,53.84,38.09
"Belgrade-Brooten-Elrosa Public School District","Belgrade-Brooten-Elrosa Elementary",46.89,34.42,49.65,42.62
"Belgrade-Brooten-Elrosa Public School District","Belgrade-Brooten-Elrosa Sec.",21.83,7.69,44.51,40.35
"Gfw Public Schools","Gfw Elementary School",47.66,32.72,45.79,32.72
"Gfw Public Schools","Gfw High School",15.38,9.09,44.89,NA
"Gfw Public Schools","Gfw Middle School",24.34,22.8,45.21,38.59
"A.C.G.C. Public School District","A.C.G.C. Elementary",57.85,50.76,38.01,30.76
"A.C.G.C. Public School District","Acgc Elementary Grades 5 And 6",47.32,33.33,49.61,40.35
"A.C.G.C. Public School District","A.C.G.C. Secondary",47.75,36.9,39.17,30.23
"Le Sueur-Henderson School District","Le Sueur-Henderson Elementary School",51.51,44.61,46.06,38.46
"Le Sueur-Henderson School District","Le Sueur-Henderson Middle/High School",61.11,46.98,63.91,54.34
"Martin County West School District","Trimont Elementary",47.95,34.28,42.85,38.57
"Martin County West School District","Martin County West Senior High",16.66,NA,26.66,NA
"Martin County West School District","Martin County West Junior High",45.83,35.48,35.41,16.12
"Bird Island-Olivia-Lake Lillian Public School District","Bold-Bird Island Elementary",70.58,62.5,44.7,31.25
"Bird Island-Olivia-Lake Lillian Public School District","Bold Middle School",26.5,9.45,38.55,22.97
"Bird Island-Olivia-Lake Lillian Public School District","Bold Senior High School",16.32,NA,39.13,NA
"Granada Huntley East Chain","Granada Huntley East Chain Elementary School",23.94,16.21,35.21,29.72
"Granada Huntley East Chain","Granada Huntley East Chain High School",20.83,NA,36.36,NA
"Granada Huntley East Chain","Granada Huntley East Chain Middle School",21.51,18.91,25.31,21.62
"East Central School District","East Central Elementary",44.77,40,44.27,45.26
"East Central School District","East Central Senior Secondary",23.07,17.54,33.08,25.53
"Win-E-Mac School District","Win-E-Mac Elementary",64.96,54.9,51.44,41.17
"Win-E-Mac School District","Win-E-Mac Secondary",39.17,35,51.88,53.48
"Greenbush Middle River School District","Greenbush Elementary",34.28,37.5,38.57,50
"Greenbush Middle River School District","Greenbush-Middle River Secondary",39.13,NA,51.06,NA
"Howard Lake-Waverly-Winsted","Winsted Elementary",41.37,39.39,34.48,33.33
"Howard Lake-Waverly-Winsted","Howard Lake-Waverly-Winsted Sec.",15.55,7.4,50,36.11
"Howard Lake-Waverly-Winsted","Humphrey Elementary",50.53,33.33,34.4,33.33
"Howard Lake-Waverly-Winsted","Howard Lake-Waverly-Winsted Middle School",30.92,28.34,51.54,48.03
"Pipestone Area School District","Pipestone Elementary",43.62,37.83,48.77,43.24
"Pipestone Area School District","Pipestone Middle",16.23,9.47,29.91,15.78
"Pipestone Area School District","Pipestone Senior High",17.94,16.66,38.96,37.5
"Mesabi East School District","Mesabi East Elementary",38.97,27.35,45.66,35.89
"Mesabi East School District","Mesabi East Secondary",23.62,22.34,38.17,35.71
"Fairmont Area School District","Fairmont Elementary School",39.12,28.01,42.66,33.11
"Fairmont Area School District","Fairmont Jr./Sr. High School",31.32,17.7,40.41,26.9
"Long Prairie-Grey Eagle School District","Long Prairie-Grey Eagle Elementary",17.54,11.57,25.26,18.98
"Long Prairie-Grey Eagle School District","Long Prairie-Grey Eagle Secondary School",13.39,9.03,18.25,17.36
"Cedar Mountain School District","Cedar Mountain Elementary",66.66,57.77,53.08,44.44
"Cedar Mountain School District","Cedar Mountain Middle/High School",26.49,22.03,30.61,24.48
"Morris Area Public Schools","Morris Area Secondary",63.6,50,56.64,42.42
"Morris Area Public Schools","Morris Area Elementary",50.51,34.11,56.74,40
"Zumbrota-Mazeppa School District","Zumbrota-Mazeppa Elementary School",72.62,57.28,65.41,51.45
"Zumbrota-Mazeppa School District","Zumbrota-Mazeppa Senior High",40,NA,24.48,7.69
"Zumbrota-Mazeppa School District","Zumbrota-Mazeppa Middle School",47.36,28.57,48.42,35.71
"Janesville-Waldorf-Pemberton Public School District","Janesville-Waldorf-Pemberton Elementary",63.52,25.58,62.35,53.48
"Janesville-Waldorf-Pemberton Public School District","Janesville-Waldorf-Pemberton Secondary",50.78,45.45,52.67,50
"Lac Qui Parle Valley School District","Madison-Marietta-Nassau Elementary",61.7,NA,38.29,NA
"Lac Qui Parle Valley School District","Appleton-Milan Elementary",40.67,25,32.2,22.22
"Lac Qui Parle Valley School District","Lac Qui Parle Valley Middle School",26.05,16.39,40.33,26.22
"Lac Qui Parle Valley School District","Lac Qui Parle Valley Secondary",25.98,14.1,34.65,21.33
"Stephen-Argyle Central Schools","Stephen-Argyle Central Elementary",59.55,47.22,59.55,47.22
"Stephen-Argyle Central Schools","Stephen-Argyle Central High School",40.35,NA,48.27,43.47
"Glencoe-Silver Lake School District","Lincoln Elementary",NA,NA,NA,NA
"Glencoe-Silver Lake School District","Lakeside Elementary",56.12,46.29,48.46,41.97
"Glencoe-Silver Lake School District","Gsl Junior High School",31.94,23.33,43.98,36.66
"Glencoe-Silver Lake School District","Glencoe-Silver Lake Senior High",30,22.5,46.84,33.33
"Blue Earth Area School District","Blue Earth Area Elementary",42.3,30.7,44.01,35.43
"Blue Earth Area School District","Blue Earth Area Secondary",28.33,24.59,44.53,34.72
"Blue Earth Area School District","Blue Earth Area Middle",21.93,15.38,43.87,34.61
"Red Rock Central School District","Red Rock Central Secondary",41.66,42.5,50.6,53.65
"Red Rock Central School District","Red Rock Central Elementary",52.17,37.5,63.47,52.08
"Glenville-Emmons School District","Glenville Emmons Elementary",40.57,30,36.23,20
"Glenville-Emmons School District","Glenville-Emmons Secondary",32,26.08,35,25.92
"Clinton-Graceville-Beardsley","Pre-K - 5Th Grade Building",54.92,35.71,57.74,46.42
"Clinton-Graceville-Beardsley","6-12Th Grade Building",27.27,14.28,50,54.16
"Lake Park Audubon School District","Lake Park Audubon Elementary",48.96,50,49.65,40.32
"Lake Park Audubon School District","Lake Park Audubon High School",16.36,NA,30.76,NA
"Lake Park Audubon School District","Lake Park Audubon Middle School",29.34,18.75,46.42,35.93
"Renville County West School District","Renville County West Elementary",32.29,24.65,39.75,30.13
"Renville County West School District","Renville County West Senior High",33.66,23.4,41.58,39.58
"Jackson County Central School District","Pleasantview Elementary",50,40.32,50,33.87
"Jackson County Central School District","Riverside Elementary",59.77,40.62,42.52,28.12
"Jackson County Central School District","Jackson County Central Senior High",35.21,38.46,48.8,45.16
"Jackson County Central School District","Jackson County Central Middle",42.12,34.78,39.14,29.34
"Redwood Area School District","Redwood Valley Senior High",13.33,8.69,53.93,47.22
"Redwood Area School District","Redwood Valley Elementary School",53.5,38.96,33.75,29.87
"Redwood Area School District","Redwood Valley Middle",46.62,35.71,48.98,40.71
"Westbrook-Walnut Grove Schools","Walnut Grove Elementary",54.79,45.55,46.57,37.77
"Westbrook-Walnut Grove Schools","Westbrook-Walnut Grove Secondary",36.73,29.09,39.62,33.87
"Plainview-Elgin-Millville Community Schools","Plainview-Elgin-Millville Pk-3",58.76,45.94,50.51,37.83
"Plainview-Elgin-Millville Community Schools","Plainview-Elgin-Millville 4-5",53.11,44.76,54.09,42.85
"Plainview-Elgin-Millville Community Schools","Plainview-Elgin-Millville Middle School",51.78,32.09,53.12,30.86
"Plainview-Elgin-Millville Community Schools","Plainview-Elgin-Millville High",45.94,36.36,53.53,56.25
"Rtr Public Schools","Rtr Elementary School",50.78,24.39,46.87,24.39
"Rtr Public Schools","Rtr Secondary School",45.07,28.57,42.2,29.11
"Ortonville Public Schools","Knoll Elementary",62.32,38,59.58,54
"Ortonville Public Schools","Ortonville Secondary",38.31,13.88,48.51,40.54
"Tracy Area Public School District","Tracy Secondary",33.09,30,40.62,34.93
"Tracy Area Public School District","Tracy Elementary",54.35,52.5,53.84,50
"Tri-City United School District","Le Center Pre K-8",48,32,50.8,38
"Tri-City United School District","Tri-City United High School",22.9,7.31,34.02,14.89
"Tri-City United School District","Montgomery Pre K-8",38.49,27.01,46.47,35.05
"Tri-City United School District","Lonsdale Pre K-6",50.62,33.33,48.12,33.33
"Red Lake County Central Public Schools","Red Lake County Central Elementary",42.1,30.23,49.12,30.23
"Red Lake County Central Public Schools","Red Lake County Central High School",39.28,29.62,40.57,26.92
"Round Lake-Brewster Public Schools","Round Lake-Brewster Elementary",32.62,24.32,44.68,41.44
"Round Lake-Brewster Public Schools","Round Lake-Brewster Middle School",21.92,16.25,32.45,26.25
"Brandon-Evansville Public Schools","Evansville Elementary",66.93,54.05,59.67,48.64
"Brandon-Evansville Public Schools","Brandon-Evansville Middle School",52.03,45.94,44.71,37.83
"Brandon-Evansville Public Schools","Brandon-Evansville High School",37.93,NA,59.45,NA
"Rock Ridge Public Schools","North Star Elementary",38.28,34.14,55.46,42.07
"Rock Ridge Public Schools","Laurentian Elementary",54.77,35.77,62.5,49.54
"Rock Ridge Public Schools","Rock Ridge High School",28.68,22.35,39.37,39.49
"Ada-Borup-West Public Schools","Ada-Borup-West Elementary",64.58,47.29,54.16,40.54
"Ada-Borup-West Public Schools","Ada-Borup-West Secondary",53.29,36.61,58.92,37.68
"City Academy","City Academy",0,0,NA,NA
"Bluffview Montessori","Bluffview Montessori",44.77,38.46,65.67,61.53
"New Heights School, Inc.","New Heights School, Inc.",0,0,13.88,9.09
"Metro Deaf School","Metro Deaf School",9.33,10.2,7.35,9.75
"Minnesota New Country School","Minnesota New Country School",10.93,NA,40.27,26.92
"Minnesota New Country School","Minnesota New Country Elementary",25,19.04,26.92,19.04
"Pact Charter School","Pact Charter Elementary",56.79,40.9,50.75,32.95
"Pact Charter School","Pact Charter Secondary",37.34,24.62,54.42,42.03
"Athlos Leadership Academy","Athlos Leadership Academy",27.16,26.21,37.71,34.8
"Community Of Peace Academy","Community Of Peace Academy Elementary School",13.04,10.52,13.04,10.52
"Community Of Peace Academy","Community Of Peace Academy High School",13.95,13.15,35.38,38.46
"Community Of Peace Academy","Community Of Peace Academy Middle School",16.47,12.8,28.62,28.07
"World Learner Charter School","World Learner Charter School",38.19,18.75,54.86,40.62
"Minnesota Transitions Charter School","Minnesota Transitions Charter Elementary",2.77,2.77,11.11,11.11
"Minnesota Transitions Charter School","Mts High School",5.97,3.27,16.39,12.72
"Minnesota Transitions Charter School","Mn Virtual Secondary School",7.14,3.47,15.03,10.71
"Minnesota Transitions Charter School","Minnesota Connections Academy 7-12",6.71,3.94,27.76,21.83
"Minnesota Transitions Charter School","Banaadir Elementary",18.75,18.75,13.75,13.75
"Minnesota Transitions Charter School","Banaadir Academy",20.58,21.21,42.46,43.05
"Minnesota Transitions Charter School","Minnesota Connections Academy K-6",12.46,8.53,25.77,21.09
"Achieve Language Academy","Achieve Language Academy",12.5,10.9,25.75,25
"Duluth Public Schools Academy","North Star Academy",29.69,18.71,42.27,32.51
"Duluth Public Schools Academy","Raleigh Primary/El Academy",30.52,26,44.21,34
"Cyber Village Academy","Cva 100% Online Middle & High School (6-12)",0,NA,4.76,NA
"Cyber Village Academy","Cva Hybrid Middle School (6-8)",15.38,NA,33.33,NA
"Higher Ground Academy","Hga Elementary",47.32,46.41,39.91,39.24
"Higher Ground Academy","Hga Secondary",38.72,39.15,51.38,51.74
"Higher Ground Academy","Hga Junior High",18.71,19.23,42.78,42.3
"St. Paul City School","St. Paul City Primary School",6.55,5.55,10.65,9.25
"St. Paul City School","St. Paul City Middle School",5.18,5,13.33,13.33
"St. Paul City School","St. Paul City High School",0,0,11.36,10
"Jennings Community School","Jennings Community School",4,NA,0,NA
"Life Prep","Life Prep",7.14,4.68,21.42,18.75
"Sojourner Truth Academy","Sojourner Truth Academy",6.06,5.14,11.3,10.32
"High School For Recording Arts","High School For Recording Arts",5.71,0,NA,NA
"Math And Science Academy","Math And Science Academy",69.28,44.44,78.48,60
"Northwest Passage High School","Northwest Passage High School",10.25,0,29.72,NA
"North Lakes Academy","North Lakes Academy 7-12 Campus",16.98,18.91,32.77,36.36
"North Lakes Academy","North Lakes Academy Elementary",43.51,32.78,41.98,31.14
"La Crescent Montessori & Stem School","La Crescent Montessori & Stem Academy",43.75,NA,43.75,NA
"La Crescent Montessori & Stem School","La Crescent Secondary Montessori & Stem Academy",10,NA,NA,NA
"Nerstrand Charter School","Nerstrand Charter School",58.69,NA,56.52,NA
"Schoolcraft Learning Community Charter","Schoolcraft Learning Community",32.59,31.91,46.66,44.68
"Crosslake Community Charter School","Crosslake Community Seat Based School",32.53,25,54.21,46.42
"Crosslake Community Charter School","Crosslake Community 6-12 Online School",0.89,0,8.33,8
"Crosslake Community Charter School","Crosslake Community K-5 Online School",4.54,NA,9.09,NA
"Riverway Learning Community Charter","Riverway Learning Community Charter",20,9.09,40,31.81
"Riverway Learning Community Charter","Riverway Secondary",20.58,20,50,39.13
"Kato Public Charter School","Kato Public Charter School",5,NA,25.92,22.72
"Aurora Charter School","Aurora Charter School",19.78,18.05,7.69,5.55
"Aurora Charter School","Aurora Middle School",3.42,2.68,21.14,19.46
"Excell Academy Charter","Excell Academy Charter",12.45,11.76,19.78,18.06
"Hope Community Academy","Hope Community Academy Elementary",20.09,20.21,18.18,17.55
"Hope Community Academy","Hope Community Academy Middle School",11.11,9.23,15.27,14.35
"Hope Community Academy","Hope Community Academy High School",25,30.43,21.62,22.22
"Academias La Paz","Academia Cesar Chavez Elementary School",2.06,1.5,6.2,5.26
"Academias La Paz","Academia Cesar Chavez Middle School",4.82,3.78,13.79,12.87
"Academias La Paz","El Colegio High School",0,0,NA,NA
"Afsa High School","Afsa High School",23.36,9.43,39.28,28.78
"Afsa High School","Afsa Elementary",16.3,10.2,25,18.36
"Avalon School","Avalon School",28.88,NA,58.53,NA
"Avalon School","Avalon Middle School",31.08,13.04,43.24,26.08
"Twin Cities International Schools","Minnesota International Middle Charter School",16.24,16.34,34.39,33.97
"Twin Cities International Schools","Twin Cities International Schools",35.64,35.33,29.04,29.33
"Friendship Academy Of The Arts","Friendship Academy Of The Arts",11.11,9.17,20,17.43
"Bluesky Charter School","Bluesky Charter School",7.2,4.13,24.03,20.18
"Ridgeway Community School","Ridgeway Community School",64.58,NA,43.75,NA
"North Shore Community School","North Shore Community School",56.85,51.72,62.94,58.62
"Harbor City International Charter","Harbor City International Charter",43.58,NA,70.73,NA
"Urban Academy","Urban Academy",34.48,34.68,38.5,38.15
"New City School","New City School",38.4,22.72,47.2,29.54
"Prairie Creek Community School","Prairie Creek Community School",56.66,NA,65.55,NA
"Arcadia Charter School","Arcadia Charter School",33.33,28.57,60.27,52.38
"New Century Academy","New Century Academy",9.75,8.33,24.44,29.03
"Trio Wolf Creek Distance Learning","Trio Wolf Creek Distance Learning",3.38,NA,16.66,NA
"Partnership Academy, Inc.","Partnership Academy, Inc.",29.96,29.05,24.46,23.98
"Nova Classical Academy","Nova Classical Academy Lower School",74.68,62.26,67.63,54.71
"Nova Classical Academy","Nova Classical Academy Upper School",71.38,55.88,78.76,68.91
"Great Expectations","Great Expectations",41.46,NA,64.63,NA
"Minnesota Internship Center","Unity Campus",0,0,NA,NA
"Minnesota Internship Center","MnIc Online Program",0,0,NA,NA
"Hmong College Prep Academy","Hmong College Prep Academy Hs",20.76,22.29,38.11,36.19
"Hmong College Prep Academy","Hmong College Prep Academy Ms",10.02,9.6,19.77,19.2
"Hmong College Prep Academy","Hmong College Prep Academy Es",19.25,18.68,20.85,20.53
"Paladin Career And Technical High School","Paladin Career And Technical High School",3.5,2.94,18.6,3.57
"Great River School","Great River School",31.52,23.07,64.25,57.89
"Great River School","Great River Elementary School",33.72,24.48,62.35,44.89
"Treknorth High School","Treknorth High School",7.4,0,48.64,52.17
"Treknorth High School","Trek North Middle School",12.62,7.57,30.09,25.75
"Voyageurs Expeditionary","Voyageurs Expeditionary Ms",7.69,9.37,20.51,15.62
"Pim Arts High School","Pim Arts High School",12,NA,72.34,NA
"Saint Paul Conservatory For Performing Artists","Saint Paul Conservatory For Performing Artists",24.17,NA,72.58,NA
"Spero Academy","Spero Academy",12.04,18.51,18.07,22.22
"Spero Academy","Spero Academy Brooklyn Park",12.28,8.69,12.28,4.34
"Lakes International Language Academy","Lakes International Language Academy Lower School",47.71,33.84,40.28,33.84
"Lakes International Language Academy","Lakes International Language Academy Upper School",36.57,17.85,57.87,51.72
"Kaleidoscope Charter School","Kaleidoscope Charter Elementary School",34.93,29.03,35.54,22.58
"Kaleidoscope Charter School","Kaleidoscope Middle School",33.03,28.94,46.42,39.47
"Academic Arts High School","Academic Arts High School",5,NA,NA,NA
"St. Croix Preparatory Academy","St. Croix Preparatory Academy Lower",90,78.26,76.11,60.86
"St. Croix Preparatory Academy","St. Croix Preparatory Academy Middle",70.49,57.77,78.14,57.77
"St. Croix Preparatory Academy","St. Croix Preparatory Academy Upper",67.85,NA,74.74,NA
"Ubah Academy","Ubah Academy",8.95,8.95,30.76,29.68
"Eagle Ridge Academy Charter School","Eagle Ridge Academy Charter School",70.21,46.25,72.52,50
"Eagle Ridge Academy Charter School","Eagle Ridge Academy Lower School",75.81,55.2,63.34,37.6
"Beacon Academy","Beacon Academy",23.16,13.01,45.5,37.27
"Prairie Seeds Academy","Prairie Seeds Elementary School Academy",26.88,21.96,23.11,21.96
"Prairie Seeds Academy","Prairie Seeds Middle School Academy",19.32,14.38,20.77,17.12
"Prairie Seeds Academy","Prairie Seeds High School Academy",21.66,12.5,37.68,30.43
"Team Academy","Team Academy",38.09,29.03,33.33,22.58
"Metro Schools Charter","Metro College Prep",10.65,10.32,15.78,16.29
"Metro Schools Charter","Set Academy Elementary",32.01,32.92,34.78,36.21
"Metro Schools Charter","Metro 2 Online",0,0,1.53,1.61
"Metro Schools Charter","Online Set Academy",2.43,2.73,2.43,2.73
"Twin Cities Academy","Twin Cities Academy",11.65,5.19,24.8,16.77
"Rochester Math And Science Academy","Rochester Math And Science Academy Elementary",22.65,23.25,27.07,26.74
"Rochester Math And Science Academy","Rochester Math And Science Academy Secondary",37.9,39.47,37.03,38.01
"Swan River Montessori Charter School","Swan River Montessori Charter School",39.02,26.08,54.87,47.82
"Yinghua Academy","Yinghua Academy",84.3,67.04,72.48,55.68
"Stride Academy","Stride Academy Elementary",17.52,17.46,27.76,27.3
"New Millennium Academy","New Millennium Academy Charter School",21.93,21.62,25.85,25.15
"Northern Lights Community School","Northern Lights Community School",6.06,4.34,33.33,30
"Minnesota Online High School","Minnesota Online High School",3.12,NA,6.66,NA
"Edvisions Off Campus School","Edvisions Off Campus School",6.25,NA,19.44,NA
"Twin Cities German Immersion Charter School","Twin Cities German Immersion Charter School",49.06,41.93,69.14,53.12
"Midway Star Academy","Midway Star Academy",16.73,16.92,26.23,26.53
"Naytahwaush Community School","Naytahwaush Community School",22.22,22.41,25,27.58
"Seven Hills Preparatory Academy","Seven Hills Preparatory Academy, Burnsville Elementary",55.18,34.52,57.67,35.71
"Seven Hills Preparatory Academy","Seven Hills Preparatory Academy, Richfield Middle School",44.26,28.97,69.5,57.94
"Seven Hills Preparatory Academy","Seven Hills Preparatory Academy, Richfield Elementary",63.08,57.4,60.4,51.85
"Spectrum High School","Spectrum High School",46.55,NA,59.34,NA
"Spectrum High School","Spectrum Elementary School",46.25,43.47,67.34,47.82
"Spectrum High School","Spectrum Middle School",30.71,18.86,56.78,54.71
"New Discoveries Montessori Academy","New Discoveries Montessori Academy",27.77,21.62,37.96,32.43
"Southside Family Charter School","Southside Family Charter School",25.64,20,42.3,35
"Laura Jeffrey Academy Charter","Laura Jeffrey Academy Charter",31.03,NA,69.23,NA
"East Range Academy Of Technology And Science","East Range Academy Of Technology And Science",0,0,21.87,19.23
"International Spanish Language Academy","International Spanish Language Academy",53.84,25,61.53,39.28
"Glacial Hills Elementary","Glacial Hills Elementary",64.1,57.14,51.28,47.61
"Stonebridge World School","Stonebridge World School",10.75,10,15.05,14.44
"Hiawatha Academies","Hiawatha Leadership Academy-Northrop",14.74,13.88,8.97,6.94
"Hiawatha Academies","Hiawatha Collegiate High School",18.78,19.08,34.06,32.02
"Hiawatha Academies","Hiawatha College Prep - Northrop",10.5,9.97,15.25,14.28
"Noble Academy","Noble Academy Elementary",37.6,35.63,32.64,29.88
"Noble Academy","Noble Academy Middle School",33.57,31,35.76,37
