District,enrollment25,perc_frp25,math19,reading19,math22,reading22,math25,reading25,math_perc_pt_19_25,reading_perc_pt_19_25,filter_helper,color_by
Eden Prairie Public School District,9292,30.14%,68.77,73.49,59.26,67.98,58.71,64.8,-0.1006,-0.0869,-0.0869,0
Northfield Public School District,3849,29.12%,65.98,68.42,59.23,59.47,59.86,62.12,-0.0612,-0.063,-0.0612,0
LA CRESCENT-HOKAH,998,23.25%,47.08,55.33,35.81,45.98,36.78,50.76,-0.103,-0.0457,-0.0457,0
Annandale Public School District,2006,26.12%,65.49,67.03,59.66,61.68,60.04,60.33,-0.0545,-0.067,-0.0545,0
Park Rapids Public School District,1589,48.21%,45.71,51.41,38.26,41,38.61,40.86,-0.071,-0.1055,-0.071,0
Mankato Public School District,8219,37.68%,59.17,64.2,48.38,55.23,54.98,54.42,-0.0419,-0.0978,-0.0419,0
Byron Public School District,2342,15.71%,74.3,76.32,64.23,65.59,64.42,68.46,-0.0988,-0.0786,-0.0786,0
New London-Spicer School District,1518,23.91%,63.87,69.28,56.96,62.27,53.44,58.61,-0.1043,-0.1067,-0.1043,0
Alexandria Public School District,4034,28.31%,65.49,65.69,54.42,53.79,54.56,54.04,-0.1093,-0.1165,-0.1093,0
International Falls School District,914,43.33%,54.34,62.92,42.52,53.23,31.91,47.3,-0.2243,-0.1562,-0.1562,0
St. Cloud Public School District,9940,64.90%,36.23,43.7,28.01,38.34,24.81,33.71,-0.1142,-0.0999,-0.0999,0
Worthington Public School District,4064,63.44%,35.63,44.61,27.23,36.04,27.21,32.56,-0.0842,-0.1205,-0.0842,0
Big Lake Public School District,3190,33.45%,62.96,63.13,48.53,53.95,48.36,50.06,-0.146,-0.1307,-0.1307,0
Hopkins Public School District,7129,37.35%,54.48,59.48,41.81,51.94,38,48.66,-0.1648,-0.1082,-0.1082,0
Houston Public School District,1934,52.02%,40.65,58.07,32.88,50.91,32.56,49.74,-0.0809,-0.0833,-0.0809,0
Albany Public School District,1744,18.58%,71.44,68.55,59.21,55.95,58.83,57.85,-0.1261,-0.107,-0.107,0
Perham-Dent Public School District,1671,34.71%,59.08,61.98,46.78,56.7,46.34,54.58,-0.1274,-0.074,-0.074,0
Mora Public School District,1656,40.58%,58.86,66.06,51.88,61.3,51.44,61.14,-0.0742,-0.0492,-0.0492,0
Roseville Public School District,7256,48.64%,49.07,56.35,37.45,50.04,37.78,45.45,-0.1129,-0.109,-0.109,0
Mounds View Public School District,11934,33.44%,66.91,67.58,54.61,59.84,55.82,56.49,-0.1109,-0.1109,-0.1109,0
Blue Earth Area Public School,1064,51.79%,47.74,54.06,33.96,42.75,33.27,44.64,-0.1447,-0.0942,-0.0942,0
Crookston Public School District,1140,55.53%,56.16,55.86,42.1,44.96,41.4,49.33,-0.1476,-0.0653,-0.0653,0
Lake Superior Public School Dist.,1286,33.59%,57.62,61.62,35.31,44.13,34.56,43.11,-0.2306,-0.1851,-0.1851,0
Melrose Public School District,1313,40.52%,59.1,54.61,48.46,48.2,47.66,46.52,-0.1144,-0.0809,-0.0809,0
Holdingford Public School District,1098,29.51%,71.27,67.07,54.3,60.96,53.42,50.94,-0.1785,-0.1613,-0.1613,0
Forest Lake Public School District,5776,27.13%,60.13,61.04,47.46,50.64,49.61,49.8,-0.1052,-0.1124,-0.1052,0
Willmar Public School District,4218,64.84%,48.2,46.66,40.64,36.1,39.61,35.63,-0.0859,-0.1103,-0.0859,0
Thief River Falls School District,1725,39.42%,58.36,60.45,40.97,47.93,39.92,44.76,-0.1844,-0.1569,-0.1569,0
Dover-Eyota Public School District,1057,18.92%,65.29,63.41,49.05,52.71,48,51.18,-0.1729,-0.1223,-0.1223,0
Hutchinson Public School District,2722,32.73%,65.64,66.27,56.11,57.57,55.06,54.78,-0.1058,-0.1149,-0.1058,0
Fergus Falls Public School District,3235,40.96%,58.98,65,54.19,59.66,52.91,58.67,-0.0607,-0.0633,-0.0607,0
East Grand Forks Public School Dist,2005,33.72%,51.6,53.87,44.39,52.06,43.1,46.37,-0.085,-0.075,-0.075,0
Lake City Public School District,1189,32.72%,54.79,56.03,46.78,47.45,45.44,46.99,-0.0935,-0.0904,-0.0904,0
Austin Public School District,5385,59.07%,37.09,43.56,27.45,35.5,24.08,32.12,-0.1301,-0.1144,-0.1144,0
White Bear Lake School District,8571,30.43%,62.67,65.07,48.25,55.22,48.75,52.7,-0.1392,-0.1237,-0.1237,0
Bloomington Public School District,10442,47.53%,46.99,53.48,36.6,48.58,38.3,41.75,-0.0869,-0.1173,-0.0869,0
Shakopee Public School District,7717,39.03%,58.54,62.33,46.51,55.19,41.5,50.5,-0.1704,-0.1183,-0.1183,0
St. Peter Public School District,2107,38.21%,59.2,59.06,51.56,50.97,49.66,56.17,-0.0954,-0.0289,-0.0289,0
Winona Area Public School District,2465,44.95%,48.57,49.16,36.12,41.45,34.12,38.53,-0.1445,-0.1063,-0.1063,0
Columbia Heights Public School Dist,3516,76.59%,26.02,35.09,15.94,26.08,13.79,21.81,-0.1223,-0.1328,-0.1223,0
Esko Public School District,1287,13.52%,75.77,80.72,66.77,70.75,64.33,66.42,-0.1144,-0.143,-0.1144,0
North Branch Public Schools,2704,29.47%,51.24,55.35,40.9,50.89,38.41,44.08,-0.1283,-0.1127,-0.1127,0
Crosby-Ironton Public School Dist.,988,43.72%,45.63,64.26,45.69,57.7,43.14,49.01,-0.0249,-0.1525,-0.0249,0
Greenway Public School District,970,52.27%,50.37,61.21,45.74,44.34,43.16,44.08,-0.0721,-0.1713,-0.0721,0
Becker Public School District,2877,20.44%,66.22,64.88,54.64,58.46,51.89,52.65,-0.1433,-0.1223,-0.1223,0
Rockford Public School District,1565,29.78%,63.13,67.98,42.35,53.07,39.51,51.31,-0.2362,-0.1667,-0.1667,0
Prior Lake-Savage Area Schools,8788,17.90%,71.61,68.43,60.1,61.75,57.58,59.63,-0.1403,-0.088,-0.088,0
Red Wing Public School District,2225,35.46%,48.88,54.75,33.99,42.2,31.06,37.92,-0.1782,-0.1683,-0.1683,0
New Prague Area Schools,3980,17.59%,70.8,69.89,61.62,62.11,58.53,53.2,-0.1227,-0.1669,-0.1227,0
Hibbing Public School District,2232,47.45%,56.81,66.77,47.38,56,44.37,52.22,-0.1244,-0.1455,-0.1244,0
Elk River School District,14577,21.91%,71.28,70.13,59.05,59.54,60.89,60.37,-0.1039,-0.0976,-0.0976,0
Buffalo-Hanover-Montrose Public Sch,5175,27.13%,65.03,65.17,54.74,55.34,50.74,53.26,-0.1429,-0.1191,-0.1191,0
Burnsville Public School District,7663,56.92%,43.29,48.2,31.42,40.52,30.04,35.94,-0.1325,-0.1226,-0.1226,0
Warroad Public School District,1041,36.50%,49,66.67,42.78,55.78,39.48,49.17,-0.0952,-0.175,-0.0952,0
Anoka-Hennepin Public School District,38354,38.56%,63.51,65.08,52.41,54.9,51.94,52.64,-0.1157,-0.1244,-0.1157,0
Pine City Public School District,1582,40.08%,48.81,55.74,43.24,48.14,39.7,42.61,-0.0911,-0.1313,-0.0911,0
Sartell-St. Stephen School District,3943,21.10%,75.28,72.1,61.17,65.53,64.53,61.82,-0.1075,-0.1028,-0.1028,0
Farmington Public School District,6458,25.44%,55.19,58.61,44.05,49.24,40.27,45.27,-0.1492,-0.1334,-0.1334,0
Lakeville Public School District,12025,21.06%,69.33,73.25,56.81,63.19,59.26,59.78,-0.1007,-0.1347,-0.1007,0
Pine Island Public School Dist.,1562,17.67%,66.85,68.99,56.07,56.93,52.23,56.47,-0.1462,-0.1252,-0.1252,0
North St Paul-Maplewood Oakdale Public School District,10754,64.03%,51.82,50.94,29.85,36.54,32.45,35.74,-0.1937,-0.152,-0.152,0
Jordan Public School District,1877,26.80%,61.37,66.76,53.33,58.6,49.25,56.09,-0.1212,-0.1067,-0.1067,0
Litchfield Public School District,1566,39.78%,58.86,65.23,55.38,49.81,51.13,51.86,-0.0773,-0.1337,-0.0773,0
Cambridge-Isanti Public School Dist,5007,35.01%,59.23,62.21,45.9,50.06,45.99,46.86,-0.1324,-0.1535,-0.1324,0
South Washington County School Dist,19578,23.44%,64.92,67.99,51.35,56.71,51.84,54.46,-0.1308,-0.1353,-0.1308,0
Milaca Public School District,1639,45.27%,58.54,58.3,47.36,48.07,42.71,46.38,-0.1583,-0.1192,-0.1192,0
Rocori Public School District,2406,28.80%,61.63,65.09,52.8,52.76,48.12,47.13,-0.1351,-0.1796,-0.1351,0
Spring Lake Park Public Schools,6113,45.44%,46.83,56.59,37.68,45.05,36.18,40.67,-0.1065,-0.1592,-0.1065,0
Roseau Public School District,1101,28.16%,60.74,64.61,43.5,52.08,38.26,46.87,-0.2248,-0.1774,-0.1774,0
Hastings Public School District,4041,28.51%,68,65.54,48.61,52.08,43.18,49.17,-0.2482,-0.1637,-0.1637,0
Brainerd Public School District,6079,40.19%,62.21,67.87,50.17,55.77,45.64,51.48,-0.1657,-0.1639,-0.1639,0
St. James Public School District,1143,56.61%,56.4,57.25,42.33,44.3,36.59,39.31,-0.1981,-0.1794,-0.1794,0
Delano Public School District,2457,12.33%,78.36,79.18,73.41,74.3,67.57,71.12,-0.1079,-0.0806,-0.0806,0
St. Michael-Albertville School Dist,6795,18.63%,75.35,76.18,63.12,63.7,59.96,60.75,-0.1539,-0.1543,-0.1539,0
Menahga Public School District,987,51.27%,51.6,57.46,46.08,48.75,40.07,46.08,-0.1153,-0.1138,-0.1138,0
Faribault Public School District,3106,68.54%,34.67,41.57,19.82,32.71,13.72,29.75,-0.2095,-0.1182,-0.1182,0
Triton School District,889,37.12%,49.64,50.18,42.46,42.12,49.18,42.38,-0.0046,-0.078,-0.0046,0
St. Louis County School District,1914,42.37%,41.23,55.27,31.77,46.1,29.48,42.79,-0.1175,-0.1248,-0.1175,0
Chisago Lakes School District,3317,21.95%,62.83,65.6,51.23,56.27,56.64,56.13,-0.0619,-0.0947,-0.0619,0
Minnewaska School District,1324,29.61%,62.84,62.07,55.86,55.29,61.57,57.81,-0.0127,-0.0426,-0.0127,0
Wadena-Deer Creek School District,1079,45.04%,47.93,56.08,33.02,45.66,38.59,40.18,-0.0934,-0.159,-0.0934,0
Dilworth-Glyndon-Felton,1535,31.27%,57.49,62.08,47.25,53.08,43.17,50.18,-0.1432,-0.119,-0.119,0
Staples-Motley School District,901,48.50%,42.66,49.21,40.76,44.84,39.44,41.53,-0.0322,-0.0768,-0.0322,0
Monticello Public School District,4013,30.53%,66.67,67,59.39,58.33,52.6,52.89,-0.1407,-0.1411,-0.1407,0
Sibley East School District,1089,41.51%,44.48,51.09,36.8,43.85,40.68,48.09,-0.038,-0.03,-0.03,0
Windom Public School District,1187,48.86%,53.6,57.84,42.98,46.4,35.55,44.87,-0.1805,-0.1297,-0.1297,0
Howard Lake-Waverly-Winsted,1312,29.73%,53.44,60.79,40.42,49.46,33.18,47.77,-0.2026,-0.1302,-0.1302,0
Pipestone Area School District,1138,45.08%,41.07,55.44,39.89,48.13,28.09,39.22,-0.1298,-0.1622,-0.1298,0
Fairmont Area School District,1846,53.58%,57.63,58.47,41.19,48.65,35.37,41.59,-0.2226,-0.1688,-0.1688,0
Sauk Rapids-Rice Public Schools,4331,34.22%,53.79,57.19,43.16,53.49,35.62,46.64,-0.1817,-0.1055,-0.1055,0
Zumbrota-Mazeppa School District,1242,23.91%,67.03,65.86,59.62,54.82,66.67,59.34,-0.0036,-0.0652,-0.0036,0
Glencoe-Silver Lake School District,1390,34.82%,54.24,60.19,40.25,49.1,45.97,48.23,-0.0827,-0.1196,-0.0827,0
Montevideo Public School District,1372,54.23%,54.02,58.53,50.59,48.65,41.99,45.76,-0.1203,-0.1277,-0.1203,0
Jackson County Central School Dist.,1093,38.06%,55.2,55.45,43.02,45.35,48.08,46.69,-0.0712,-0.0876,-0.0712,0
Redwood Area School District,1113,43.04%,52.67,57.95,46.09,48.96,43.07,45.05,-0.096,-0.129,-0.096,0
Plainview-Elgin-Millville,1405,33.24%,67.81,67.4,56.62,57.89,53.09,53.9,-0.1472,-0.135,-0.135,0
Tri-City United School District,1927,33.52%,49.53,57.38,42.81,44.79,41.49,47.13,-0.0804,-0.1025,-0.0804,0
Albert Lea Public School District,3335,57.96%,43.93,47.61,36.57,40.36,27.75,37.4,-0.1618,-0.1021,-0.1021,0
