District,enrollment25,perc_frp25,math19,reading19,math22,reading22,math25,reading25,math_perc_pt_19_25,reading_perc_pt_19_25,filter_helper,color_by,large_district
Menahga Public School District,987,51.27%,51.6,57.46,46.08,48.75,40.07,46.08,-11.53,-11.38,-0.1138,0,0
Faribault Public School District,3106,68.54%,34.67,41.57,19.82,32.71,13.72,29.75,-20.95,-11.82,-0.1182,0,0
Triton School District,889,37.12%,49.64,50.18,42.46,42.12,49.18,42.38,-0.46,-7.8,-0.0046,0,0
St. Louis County School District,1914,42.37%,41.23,55.27,31.77,46.1,29.48,42.79,-11.75,-12.48,-0.1175,0,0
Chisago Lakes School District,3317,21.95%,62.83,65.6,51.23,56.27,56.64,56.13,-6.19,-9.47,-0.0619,0,0
Minnewaska School District,1324,29.61%,62.84,62.07,55.86,55.29,61.57,57.81,-1.27,-4.26,-0.0127,0,0
Wadena-Deer Creek School District,1079,45.04%,47.93,56.08,33.02,45.66,38.59,40.18,-9.34,-15.9,-0.0934,0,0
Dilworth-Glyndon-Felton,1535,31.27%,57.49,62.08,47.25,53.08,43.17,50.18,-14.32,-11.9,-0.119,0,0
Staples-Motley School District,901,48.50%,42.66,49.21,40.76,44.84,39.44,41.53,-3.22,-7.68,-0.0322,0,0
Monticello Public School District,4013,30.53%,66.67,67,59.39,58.33,52.6,52.89,-14.07,-14.11,-0.1407,0,0
Sibley East School District,1089,41.51%,44.48,51.09,36.8,43.85,40.68,48.09,-3.8,-3,-0.03,0,0
Windom Public School District,1187,48.86%,53.6,57.84,42.98,46.4,35.55,44.87,-18.05,-12.97,-0.1297,0,0
Howard Lake-Waverly-Winsted,1312,29.73%,53.44,60.79,40.42,49.46,33.18,47.77,-20.26,-13.02,-0.1302,0,0
Pipestone Area School District,1138,45.08%,41.07,55.44,39.89,48.13,28.09,39.22,-12.98,-16.22,-0.1298,0,0
Fairmont Area School District,1846,53.58%,57.63,58.47,41.19,48.65,35.37,41.59,-22.26,-16.88,-0.1688,0,0
Sauk Rapids-Rice Public Schools,4331,34.22%,53.79,57.19,43.16,53.49,35.62,46.64,-18.17,-10.55,-0.1055,0,0
Zumbrota-Mazeppa School District,1242,23.91%,67.03,65.86,59.62,54.82,66.67,59.34,-0.36,-6.52,-0.0036,0,0
Glencoe-Silver Lake School District,1390,34.82%,54.24,60.19,40.25,49.1,45.97,48.23,-8.27,-11.96,-0.0827,0,0
Montevideo Public School District,1372,54.23%,54.02,58.53,50.59,48.65,41.99,45.76,-12.03,-12.77,-0.1203,0,0
Jackson County Central School Dist.,1093,38.06%,55.2,55.45,43.02,45.35,48.08,46.69,-7.12,-8.76,-0.0712,0,0
Redwood Area School District,1113,43.04%,52.67,57.95,46.09,48.96,43.07,45.05,-9.6,-12.9,-0.096,0,0
Plainview-Elgin-Millville,1405,33.24%,67.81,67.4,56.62,57.89,53.09,53.9,-14.72,-13.5,-0.135,0,0
Tri-City United School District,1927,33.52%,49.53,57.38,42.81,44.79,41.49,47.13,-8.04,-10.25,-0.0804,0,0
Albert Lea Public School District,3335,57.96%,43.93,47.61,36.57,40.36,27.75,37.4,-16.18,-10.21,-0.1021,0,0
Minnesota (overall),"876,746",40.30%,53.85,58.29,41.72,48.63,42.61,47.58,-11.24,-10.71,-0.1021,0,1
